quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	chord_id	Chord/StemDirection	Chord/durationType	Clef/concertClefType	Clef/transposingClefType	Dynamic/offset	Dynamic/offset:x	Dynamic/offset:y	Dynamic/style	Dynamic/subtype	Dynamic/velocity	Rest/durationType
19	1.0	7	7	1/4	1/4	Chord	3/4	2	1	1/4	1.0	19	up	quarter									
20	1.0	7	7	1/2	1/2	Chord	3/4	2	1	1/4	1.0	20	up	quarter									
21	1.0	8	8	0	0	Chord	3/4	1	1	1/4	1.0	21	up	quarter									
22	2.0	8	8	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
21	1.0	8	8	0	0	Rest	3/4	2	1	1/4	1.0												quarter
22	1.0	8	8	1/4	1/4	Chord	3/4	2	1	1/4	1.0	22	up	quarter									
23	1.0	8	8	1/2	1/2	Chord	3/4	2	1	1/4	1.0	23	up	quarter									
24	1.0	9	9	0	0	Chord	3/4	1	1	1/4	1.0	24	up	quarter									
25	2.0	9	9	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
24	1.0	9	9	0	0	Rest	3/4	2	1	1/4	1.0												quarter
25	1.0	9	9	1/4	1/4	Chord	3/4	2	1	1/4	1.0	25	up	quarter									
26	1.0	9	9	1/2	1/2	Chord	3/4	2	1	1/4	1.0	26	up	quarter									
27	1.0	10	10	0	0	Chord	3/4	1	1	1/4	1.0	27	up	quarter									
28	2.0	10	10	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
27	1.0	10	10	0	0	Rest	3/4	2	1	1/4	1.0												quarter
28	1.0	10	10	1/4	1/4	Chord	3/4	2	1	1/4	1.0	28	up	quarter									
29	1.0	10	10	1/2	1/2	Chord	3/4	2	1	1/4	1.0	29	up	quarter									
30	1.0	11	11	0	0	Chord	3/4	1	1	1/4	1.0	30	up	quarter									
31	2.0	11	11	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
30	1.0	11	11	0	0	Rest	3/4	2	1	1/4	1.0												quarter
31	1.0	11	11	1/4	1/4	Chord	3/4	2	1	1/4	1.0	31	up	quarter									
32	1.0	11	11	1/2	1/2	Chord	3/4	2	1	1/4	1.0	32	up	quarter									
33	1.0	12	12	0	0	Chord	3/4	1	1	1/4	1.0	33	up	quarter									
34	2.0	12	12	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
33	1.0	12	12	0	0	Rest	3/4	2	1	1/4	1.0												quarter
34	1.0	12	12	1/4	1/4	Chord	3/4	2	1	1/4	1.0	34	up	quarter									
35	1.0	12	12	1/2	1/2	Chord	3/4	2	1	1/4	1.0	35	up	quarter									
36	1.0	13	13	0	0	Chord	3/4	1	1	1/4	1.0	36	up	quarter									
37	2.0	13	13	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
36	1.0	13	13	0	0	Rest	3/4	2	1	1/4	1.0												quarter
37	1.0	13	13	1/4	1/4	Chord	3/4	2	1	1/4	1.0	37	up	quarter									
38	1.0	13	13	1/2	1/2	Chord	3/4	2	1	1/4	1.0	38	up	quarter									
39	1.0	14	14	0	0	Chord	3/4	1	1	1/4	1.0	39	up	quarter									
40	2.0	14	14	1/4	1/4	Rest	3/4	1	1	1/2	1.0												half
39	1.0	14	14	0	0	Rest	3/4	2	1	1/4	1.0												quarter
40	1.0	14	14	1/4	1/4	Chord	3/4	2	1	1/4	1.0	40	up	quarter									
41	1.0	14	14	1/2	1/2	Chord	3/4	2	1	1/4	1.0	41	up	quarter									
42	1.0	15	15	0	0	Chord	3/4	1	1	1/4	1.0	42	up	quarter									
