quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	event	timesig	staff	voice	duration	scalar	volta	chord_id	Beam	Chord/Lyrics/family	Chord/Lyrics/no	Chord/Lyrics/offset	Chord/Lyrics/offset:x	Chord/Lyrics/offset:y	Chord/Lyrics/syllabic	Chord/Lyrics/text	Chord/Lyrics/text/font	Chord/Lyrics/text/font:face	Chord/Lyrics/ticks	Chord/Lyrics/ticks_f	Chord/Spanner/Slur	Chord/Spanner/Slur/SlurSegment/o1	Chord/Spanner/Slur/SlurSegment/o1:x	Chord/Spanner/Slur/SlurSegment/o1:y	Chord/Spanner/Slur/SlurSegment/o2	Chord/Spanner/Slur/SlurSegment/o2:x	Chord/Spanner/Slur/SlurSegment/o2:y	Chord/Spanner/Slur/SlurSegment/o3	Chord/Spanner/Slur/SlurSegment/o3:x	Chord/Spanner/Slur/SlurSegment/o3:y	Chord/Spanner/Slur/SlurSegment/o4	Chord/Spanner/Slur/SlurSegment/o4:x	Chord/Spanner/Slur/SlurSegment/o4:y	Chord/Spanner/Slur/SlurSegment:no	Chord/Spanner/next/location/fractions	Chord/Spanner/prev/location/fractions	Chord/Spanner:type	Chord/dots	Chord/durationType	Chord/small	Clef/concertClefType	Clef/transposingClefType	Harmony/base	Harmony/extension	Harmony/name	Harmony/offset	Harmony/offset:x	Harmony/offset:y	Harmony/root	Rest/dots	Rest/duration	Rest/durationType	Rest/offset	Rest/offset:x	Rest/offset:y	Rest/small	Rest/visible	Spanner/HairPin/Segment/off2	Spanner/HairPin/Segment/off2:x	Spanner/HairPin/Segment/off2:y	Spanner/HairPin/Segment/offset	Spanner/HairPin/Segment/offset:x	Spanner/HairPin/Segment/offset:y	Spanner/HairPin/Segment/subtype	Spanner/HairPin/subtype	Spanner/next/location/fractions	Spanner/next/location/measures	Spanner/prev/location/fractions	Spanner/prev/location/measures	Spanner:type	Symbol/name	Symbol/offset	Symbol/offset:x	Symbol/offset:y	location/fractions
37/4	0.0	2	2	13/16	13/16	Beam	4/4	1	1	0				∅																																																																		
37/4	0.25	2	2	13/16	13/16	Chord	4/4	1	1	1/16	1		30																															16th																																				
19/2	0.25	2	2	7/8	7/8	Chord	4/4	1	1	1/16	1		31																															16th																																				
39/4	0.25	2	2	15/16	15/16	Chord	4/4	1	1	1/16	1		32																															16th																																				
10	0.25	2	2	1	1	Chord	4/4	1	1	1/16	1		33																															16th																																				
41/4	0.25	2	2	17/16	17/16	Chord	4/4	1	1	1/16	1		34																															16th																																				
21/2	0.25	2	2	9/8	9/8	Rest	4/4	1	1	1/16	1																																														16th																							
43/4	0.0	2	2	19/16	19/16	Beam	4/4	1	1	0				∅																																																																		
43/4	0.25	2	2	19/16	19/16	Chord	4/4	1	1	1/16	1		35																															16th																																				
11	0.25	2	2	5/4	5/4	Chord	4/4	1	1	1/16	1		36																															16th																																				
45/4	0.25	2	2	21/16	21/16	Chord	4/4	1	1	1/16	1		37																															16th																																				
23/2	0.25	2	2	11/8	11/8	Chord	4/4	1	1	1/16	1		38																															16th																																				
47/4	0.25	2	2	23/16	23/16	Chord	4/4	1	1	1/16	1		39																															16th																																				
12	0.0	3	3	0	0	Harmony	4/4	1	1	0																																							1					15																										
12	0.0	3	3	0	0	Spanner	4/4	1	1	0																																																					/	-13.5591	0	/	0	44.9886	0	0		1			HairPin					
12	1.5	3	3	0	0	Chord	4/4	1	1	3/8	3/2		40		FreeSerif	1				begin	A	/	Times New Roman																				1	quarter																																				
27/2	-0.5	3	3	3/8	3/8	location	4/4	1	1	-1/8																																																																						-1/8
13	0.0	3	3	1/4	1/4	Harmony	4/4	1	1	0																																							64	7				17																										
13	0.5	3	3	1/4	1/4	location	4/4	1	1	1/8																																																																						1/8
27/2	0.0	3	3	3/8	3/8	Beam	4/4	1	1	0				∅																																																																		
27/2	0.25	3	3	3/8	3/8	Chord	4/4	1	1	1/16	1		41		FreeSerif	1				end	ve	/	Times New Roman																					16th																																				
55/4	0.25	3	3	7/16	7/16	Chord	4/4	1	1	1/16	1		42		FreeSerif	1				begin	Ma	/	Times New Roman																					16th																																				
14	0.0	3	3	1/2	1/2	Harmony	4/4	1	1	0																																						16	1		/	0	0	15																										
14	0.0	3	3	1/2	1/2	Spanner	4/4	1	1	0																																																					/	-4.7997	0	/	0	45.0641	0	1	-1/2	1			HairPin					
14	1.0	3	3	1/2	1/2	Chord	4/4	1	1	1/4	1		43		FreeSerif	1	/	0	0	end	ri	/	Times New Roman	840	7/16	∅	/	0.47997	2.27986	/	-3.27971e-18	3.71977	/	-1.19992	4.67971	/	2.75983	5.63964	0	1/4		Slur		quarter																																				
15	0.0	3	3	3/4	3/4	Harmony	4/4	1	1	0																																							64	7	/	0	0	16																										
15	0.0	3	3	3/4	3/4	Beam	4/4	1	1	0				∅																																																																		
15	0.75	3	3	3/4	3/4	Chord	4/4	1	1	3/16	3/2		44																												-1/4	Slur	1	eighth																																				
63/4	0.25	3	3	15/16	15/16	Chord	4/4	1	1	1/16	1		45																															16th																																				
16	0.0	4	4	0	0	Harmony	4/4	1	1	0																																							16	m				18																										
16	0.0	4	4	0	0	Spanner	4/4	1	1	0																																																																-1	HairPin					
16	0.0	4	4	0	0	Spanner	4/4	1	1	0																																																															1/2	-1	HairPin					
16	1.0	4	4	0	0	Chord	4/4	1	1	1/4	1		46		FreeSerif	1					a	/	Times New Roman																					quarter																																				
17	1.0	4	4	1/4	1/4	Rest	4/4	1	1	1/4	1																																														quarter																							
18	0.0	4	4	1/2	1/2	Harmony	4/4	1	1	0																																							16	m				17																										
