quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
39/4	0.25	2	2		15/16	15/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	32
10	0.25	2	2		1	1	4/4	1	1	1/16	1/16	1		5	71	B4	4	33
41/4	0.25	2	2		17/16	17/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	34
43/4	0.25	2	2		19/16	19/16	4/4	1	1	1/16	1/16	1		2	62	D4	4	35
11	0.25	2	2		5/4	5/4	4/4	1	1	1/16	1/16	1		1	67	G4	4	36
45/4	0.25	2	2		21/16	21/16	4/4	1	1	1/16	1/16	1		5	71	B4	4	37
23/2	0.25	2	2		11/8	11/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	38
47/4	0.25	2	2		23/16	23/16	4/4	1	1	1/16	1/16	1		2	62	D4	4	39
12	1.5	3	3		0	0	4/4	1	1	3/8	1/4	3/2		1	67	G4	4	40
27/2	0.25	3	3		3/8	3/8	4/4	1	1	1/16	1/16	1		6	66	F#4	4	41
55/4	0.25	3	3		7/16	7/16	4/4	1	1	1/16	1/16	1		1	67	G4	4	42
14	1.0	3	3		1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	43
15	0.75	3	3		3/4	3/4	4/4	1	1	3/16	1/8	3/2		5	71	B4	4	44
63/4	0.25	3	3		15/16	15/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	45
16	1.0	4	4		0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	46
18	1.0	4	4		1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	47
19	0.25	4	4		3/4	3/4	4/4	1	1	1/16	1/16	1		5	71	B4	4	48
77/4	0.25	4	4		13/16	13/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	49
39/2	0.25	4	4		7/8	7/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	50
79/4	0.25	4	4		15/16	15/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	51
20	0.25	4	4		1	1	4/4	1	1	1/16	1/16	1		4	64	E4	4	52
81/4	0.25	4	4		17/16	17/16	4/4	1	1	1/16	1/16	1		6	66	F#4	4	53
21	1.0	5	5		0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	54
45/2	0.5	5	5		3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	55
