quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	1.0	1	1	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	0
1	1.0	1	1	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	1
2	1.0	1	1	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	2
3	1.0	2	2	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	3
4	1.0	2	2	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	4
5	1.0	2	2	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	5
6	1.0	3	3	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	6
7	1.0	3	3	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	7
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	8
9	1.0	4	4	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	9
10	1.0	4	4	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	10
11	1.0	4	4	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	11
12	1.0	5	5	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	12
13	1.0	5	5	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	13
14	1.0	5	5	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	14
15	1.0	6	6	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	15
16	1.0	6	6	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	16
17	1.0	6	6	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	17
18	1.0	7	7	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	18
19	1.0	7	7	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	19
20	1.0	7	7	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	20
21	1.0	8	8	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	21
22	1.0	8	8	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	22
23	1.0	8	8	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	23
24	1.0	9	9	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	24
25	1.0	9	9	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	25
26	1.0	9	9	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	26
27	1.0	10	10	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	27
28	1.0	10	10	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	28
29	1.0	10	10	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	29
30	1.0	11	11	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	30
31	1.0	11	11	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	31
32	1.0	11	11	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	32
33	1.0	12	12	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	33
34	1.0	12	12	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	34
35	1.0	12	12	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	35
36	1.0	13	13	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	36
37	1.0	13	13	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	37
38	1.0	13	13	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	38
39	1.0	14	14	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	39
40	1.0	14	14	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	40
41	1.0	14	14	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	41
42	1.0	15	15	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	42
43	1.0	15	15	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	43
44	1.0	15	15	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	44
45	1.0	16	16	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	45
46	1.0	16	16	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	46
47	1.0	16	16	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	47
48	1.0	17	17	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	48
49	1.0	17	17	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	49
50	1.0	17	17	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	50
51	1.0	18	18	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	51
52	1.0	18	18	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	52
53	1.0	18	18	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	53
54	1.0	19	19	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	54
55	1.0	19	19	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	55
56	1.0	19	19	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	56
57	1.0	20	20	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	57
58	1.0	20	20	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	58
59	1.0	20	20	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	59
60	1.0	21	21	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	60
61	1.0	21	21	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	61
62	1.0	21	21	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	62
63	1.0	22	22	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	63
64	1.0	22	22	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	64
65	1.0	22	22	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	65
66	1.0	23	23	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	66
67	1.0	23	23	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	67
68	1.0	23	23	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	68
69	1.0	24	24	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	69
70	1.0	24	24	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	70
71	1.0	24	24	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	71
72	1.0	25	25	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	72
73	1.0	25	25	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	73
74	1.0	25	25	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	74
75	1.0	26	26	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	75
76	1.0	26	26	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	76
77	1.0	26	26	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	77
78	1.0	27	27	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	78
79	1.0	27	27	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	79
80	1.0	27	27	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	80
81	1.0	28	28	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	81
82	1.0	28	28	1/4	1/4	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	82
83	1.0	28	28	1/2	1/2	3/4	2	1	1/4	1/4	1.0		4	76	E5	5	83
84	1.0	29	29	0	0	3/4	1	1	1/4	1/4	1.0		4	76	E5	5	84
